1q_gates,Hellinger_distance,Hellinger_fidelity,JSD,Renyi2_entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,benchmark,bootstrap_uncertainty,compile_time_sec,compiler,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
88,0.055074,0.993943,0.004371,3.963322,3.982179,0.067,14,,,CrossEnt_4,"{'Hellinger_fidelity_std': 0.000805, 'TVD_std': 0.004836, 'JSD_std': 0.000581}",2.14886,PROMETHEUS,48,28,14,102,"{'value': 0, 'status': 'VALID'}",8,5,7,13,3.556393,,36,9,,,COMPILED_UNVERIFIED,2.8,13
1,0.25977,0.869592,0.068708,1.388457,1.974968,0.1294,6,0.8706,0.006579,GHZ_7,"{'Hellinger_fidelity_std': 0.003349, 'TVD_std': 0.003318, 'JSD_std': 0.00186}",0.488508,TKET,30,29,6,7,"{'value': 0, 'status': 'VALID'}",1,6,8,7,1.105008,,1,0,,,COMPILED_UNVERIFIED,1.0,6
1,0.29804,0.830235,0.091042,1.508128,2.296489,0.1676,8,0.8324,0.007321,GHZ_9,"{'Hellinger_fidelity_std': 0.003807, 'TVD_std': 0.003779, 'JSD_std': 0.002185}",0.505048,TKET,38,30,8,9,"{'value': 0, 'status': 'VALID'}",1,8,10,9,1.124692,,1,0,,,COMPILED_UNVERIFIED,1.0,8
211,0.178202,0.937496,0.034666,4.151627,4.50747,0.103666,35,,,QAOA_5_MAXCUT,"{'Hellinger_fidelity_std': 0.002375, 'TVD_std': 0.004609, 'JSD_std': 0.001358}",0.059341,PROMETHEUS,141,31,35,246,"{'value': 0.7973, 'status': 'VALID'}",10,7,8,17,3.044538,,112,28,,,COMPILED_UNVERIFIED,5.0,32
156,0.078692,0.987654,0.008913,5.927764,5.964005,0.092525,30,,,CrossEnt_6,"{'Hellinger_fidelity_std': 0.001147, 'TVD_std': 0.004561, 'JSD_std': 0.000828}",1.306608,PROMETHEUS,84,32,30,186,"{'value': 0, 'status': 'VALID'}",12,9,9,21,5.333516,,58,21,,,COMPILED_UNVERIFIED,3.333333,27
15,0.227808,0.8989,0.054664,3.080604,3.468533,0.136809,15,,,QAOA_4_MAXCUT,"{'Hellinger_fidelity_std': 0.003123, 'TVD_std': 0.004626, 'JSD_std': 0.001751}",0.615158,TKET,104,33,21,30,"{'value': 0.7929, 'status': 'VALID'}",8,6,7,14,2.153286,,7,9,,,COMPILED_UNVERIFIED,3.5,17
15,0.064182,0.991778,0.005928,5.95583,5.97678,0.072825,12,,,CrossEnt_6,"{'Hellinger_fidelity_std': 0.000911, 'TVD_std': 0.004177, 'JSD_std': 0.000656}",0.735646,TKET,63,34,18,27,"{'value': 0, 'status': 'VALID'}",12,9,9,21,5.49981,,4,3,,,COMPILED_UNVERIFIED,2.0,14
1,0.315447,0.810888,0.101955,1.585379,2.476389,0.1879,9,0.8121,0.007656,GHZ_10,"{'Hellinger_fidelity_std': 0.003817, 'TVD_std': 0.003807, 'JSD_std': 0.00222}",0.498528,TKET,42,35,9,10,"{'value': 0, 'status': 'VALID'}",1,9,11,10,1.192975,,1,0,,,COMPILED_UNVERIFIED,1.0,9
440,0.2961,0.832336,0.121878,8.016332,8.477792,0.335997,112,,,QFT_9_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.004334, 'TVD_std': 0.004428, 'JSD_std': 0.002995}",0.010882,SABRE_O3,195,36,112,552,"{'value': 0.4945, 'status': 'VALID'}",12,40,20,52,6.179188,,128,72,,,COMPILED_UNVERIFIED,2.8,67
224,0.115263,0.973605,0.019042,7.846441,7.922949,0.13045,46,,,CrossEnt_8,"{'Hellinger_fidelity_std': 0.001727, 'TVD_std': 0.004313, 'JSD_std': 0.001243}",0.078543,PROMETHEUS,120,37,46,270,"{'value': 0, 'status': 'VALID'}",16,13,11,29,6.629501,,80,33,,,COMPILED_UNVERIFIED,3.538462,41
1,0.275819,0.853635,0.077566,1.442232,2.140615,0.1454,7,0.8546,0.006909,GHZ_8,"{'Hellinger_fidelity_std': 0.003627, 'TVD_std': 0.003631, 'JSD_std': 0.002032}",0.501939,TKET,34,38,7,8,"{'value': 0, 'status': 'VALID'}",1,7,9,8,1.132894,,1,0,,,COMPILED_UNVERIFIED,1.0,7
36,0.31884,0.807017,0.137623,8.707941,8.851667,0.343058,46,,,QAOA_9_MAXCUT,"{'Hellinger_fidelity_std': 0.004007, 'TVD_std': 0.004543, 'JSD_std': 0.002935}",0.833908,TKET,230,39,86,82,"{'value': 0.555, 'status': 'VALID'}",18,13,10,31,7.380822,,16,33,,,COMPILED_UNVERIFIED,6.615385,43
13,0.156263,0.95176,0.024581,1.139677,1.340025,0.0481,2,0.9519,0.004194,GHZ_3,"{'Hellinger_fidelity_std': 0.002005, 'TVD_std': 0.002004, 'JSD_std': 0.00104}",0.071864,SABRE_O3,10,40,2,15,"{'value': 0, 'status': 'VALID'}",1,2,4,3,1.036526,,7,0,,,COMPILED_UNVERIFIED,1.0,2
23,0.042202,0.996441,0.002568,2.979806,2.989772,0.0486,4,,,CrossEnt_3,"{'Hellinger_fidelity_std': 0.000587, 'TVD_std': 0.004352, 'JSD_std': 0.000424}",0.007545,SABRE_O3,18,41,4,27,"{'value': 0, 'status': 'VALID'}",6,3,6,9,2.730249,,13,1,,,COMPILED_UNVERIFIED,1.333333,4
50,0.092934,0.982801,0.012415,6.903462,6.950484,0.107937,66,,,QFT_7_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001339, 'TVD_std': 0.004195, 'JSD_std': 0.000965}",1.147861,TKET,327,42,108,116,"{'value': 0.3506, 'status': 'VALID'}",10,24,16,34,6.243318,,23,42,,,COMPILED_UNVERIFIED,4.5,61
53,0.06634,0.991217,0.006341,4.948571,4.974414,0.0805,13,,,CrossEnt_5,"{'Hellinger_fidelity_std': 0.000977, 'TVD_std': 0.00476, 'JSD_std': 0.000706}",0.008225,SABRE_O3,36,43,13,66,"{'value': 0, 'status': 'VALID'}",10,7,8,17,4.546245,,24,6,,,COMPILED_UNVERIFIED,1.857143,11
93,0.067665,0.990864,0.006591,6.947446,6.97358,0.077875,26,,,CrossEnt_7,"{'Hellinger_fidelity_std': 0.001065, 'TVD_std': 0.00423, 'JSD_std': 0.000768}",0.007956,SABRE_O3,46,44,26,119,"{'value': 0, 'status': 'VALID'}",14,11,10,25,6.299028,,32,15,,,COMPILED_UNVERIFIED,2.363636,15
117,0.31551,0.810817,0.136987,6.252478,6.628173,0.350884,31,,,QAOA_7_MAXCUT,"{'Hellinger_fidelity_std': 0.003762, 'TVD_std': 0.004575, 'JSD_std': 0.002763}",0.008696,SABRE_O3,73,45,31,148,"{'value': 0.6554, 'status': 'VALID'}",14,10,9,24,4.733124,,50,21,,,COMPILED_UNVERIFIED,3.1,22
601,0.28526,0.843875,0.111393,9.340663,9.676543,0.308313,153,,,QAOA_10_MAXCUT,"{'Hellinger_fidelity_std': 0.003977, 'TVD_std': 0.004355, 'JSD_std': 0.00281}",0.054738,PROMETHEUS,353,46,153,754,"{'value': 0.6456, 'status': 'VALID'}",20,15,9,35,6.828281,,259,138,,,COMPILED_UNVERIFIED,10.2,103
7,0.094122,0.98236,0.012756,2.903051,2.949392,0.1284,4,,,CrossEnt_3,"{'Hellinger_fidelity_std': 0.001319, 'TVD_std': 0.004839, 'JSD_std': 0.000956}",0.556512,TKET,43,47,6,11,"{'value': 0, 'status': 'VALID'}",6,3,6,9,2.548776,,4,1,,,COMPILED_UNVERIFIED,2.0,6
18,0.198426,0.922805,0.039803,1.224903,1.537152,0.0768,3,0.9232,0.005219,GHZ_4,"{'Hellinger_fidelity_std': 0.002613, 'TVD_std': 0.002607, 'JSD_std': 0.001387}",0.008842,SABRE_O3,13,48,3,21,"{'value': 0, 'status': 'VALID'}",1,3,5,4,1.056791,,9,0,,,COMPILED_UNVERIFIED,1.0,3
12,0.133708,0.964564,0.025677,4.816538,4.899435,0.1778,10,,,CrossEnt_5,"{'Hellinger_fidelity_std': 0.00187, 'TVD_std': 0.004702, 'JSD_std': 0.00136}",0.67404,TKET,64,49,16,22,"{'value': 0, 'status': 'VALID'}",10,7,8,17,4.408129,,4,3,,,COMPILED_UNVERIFIED,2.285714,14
35,0.183781,0.93359,0.034074,1.195362,1.559578,0.0662,5,0.9338,0.004873,GHZ_6,"{'Hellinger_fidelity_std': 0.002539, 'TVD_std': 0.002534, 'JSD_std': 0.001336}",1.74037,PROMETHEUS,26,50,5,40,"{'value': 0, 'status': 'VALID'}",1,5,7,6,1.056191,,20,0,,,COMPILED_UNVERIFIED,1.0,5
1,0.238267,0.88968,0.057598,1.328452,1.823399,0.1098,5,0.8902,0.006128,GHZ_6,"{'Hellinger_fidelity_std': 0.002915, 'TVD_std': 0.002896, 'JSD_std': 0.001591}",0.489876,TKET,26,51,5,6,"{'value': 0, 'status': 'VALID'}",1,5,7,6,1.099742,,1,0,,,COMPILED_UNVERIFIED,1.0,5
21,0.079574,0.987376,0.009104,7.929921,7.963899,0.088287,22,,,CrossEnt_8,"{'Hellinger_fidelity_std': 0.001284, 'TVD_std': 0.003996, 'JSD_std': 0.000924}",0.810648,TKET,87,52,28,43,"{'value': 0, 'status': 'VALID'}",16,13,11,29,7.265345,,6,9,,,COMPILED_UNVERIFIED,2.153846,15
258,0.139358,0.961536,0.027759,8.785344,8.888689,0.158231,54,,,CrossEnt_9,"{'Hellinger_fidelity_std': 0.002205, 'TVD_std': 0.004293, 'JSD_std': 0.00158}",0.053088,PROMETHEUS,138,53,54,312,"{'value': 0, 'status': 'VALID'}",18,15,12,33,7.76415,,91,39,,,COMPILED_UNVERIFIED,3.6,48
666,0.08118,0.986863,0.009485,5.926062,5.962179,0.0957,120,,,QFT_6_NONTRIVIAL,"{'Hellinger_fidelity_std': 0.001156, 'TVD_std': 0.004481, 'JSD_std': 0.000835}",1.196015,PROMETHEUS,452,54,120,786,"{'value': 0.478, 'status': 'VALID'}",9,18,14,27,5.411195,,349,102,,,COMPILED_UNVERIFIED,6.666667,111
