experiment,benchmark,compiler,1q_gates,Algorithm,Backend,Circuit_Depth,Compiler,Entropy_Delta,Execution_ID,HOP,Hellinger_distance,Hellinger_fidelity,JSD,Job_ID,KL_Divergence,PROM_2Q_Gates,PROM_Depth,PROM_Entropy,PROM_HOP,PROM_KL_Div,PROM_XEB,Qubits,Renyi2_entropy,SABRE_2Q_Gates,SABRE_Depth,SABRE_Entropy,SABRE_HOP,SABRE_KL_Div,SABRE_XEB,Shannon_Entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,bootstrap_uncertainty,compile_time_sec,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,routing_induced_swaps,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
03-micro-gradient-scaling,QFT_10_NONTRIVIAL,PROMETHEUS,2324.0,,,,,,,,0.201752,0.920249,0.056839,,,,,,,,,,9.591385,,,,,,,,9.77544,0.22167,582.0,,,"{'Hellinger_fidelity_std': 0.003258, 'TVD_std': 0.003903, 'JSD_std': 0.002093}",3.617544,1610.0,21.0,582.0,2906.0,"{'value': 0.2853, 'status': 'VALID'}",13.0,50.0,22.0,63.0,8.039785,,1144.0,532.0,,,,COMPILED_UNVERIFIED,11.64,485.0
03-micro-gradient-scaling,QFT_4_NONTRIVIAL,SABRE_O3,62.0,,,,,,,,0.040347,0.996747,0.002347,,,,,,,,,,3.981026,,,,,,,,3.990564,0.0484,18.0,,,"{'Hellinger_fidelity_std': 0.000602, 'TVD_std': 0.004778, 'JSD_std': 0.000434}",0.011092,53.0,22.0,18.0,80.0,"{'value': 0.1338, 'status': 'VALID'}",6.0,8.0,10.0,14.0,3.717857,,34.0,10.0,,,,COMPILED_UNVERIFIED,2.25,18.0
03-micro-gradient-scaling,CrossEnt_9,TKET,24.0,,,,,,,,0.229931,0.897058,0.073615,,,,,,,,,,8.535606,,,,,,,,8.719293,0.258541,26.0,,,"{'Hellinger_fidelity_std': 0.003792, 'TVD_std': 0.004387, 'JSD_std': 0.002465}",0.865426,108.0,23.0,36.0,50.0,"{'value': 0, 'status': 'VALID'}",18.0,15.0,12.0,33.0,7.532825,,7.0,11.0,,,,COMPILED_UNVERIFIED,2.4,22.0
03-micro-gradient-scaling,QAOA_3_MAXCUT,PROMETHEUS,93.0,,,,,,,,0.033085,0.997812,0.001579,,,,,,,,,,2.214469,,,,,,,,2.562666,0.040325,12.0,,,"{'Hellinger_fidelity_std': 0.0005, 'TVD_std': 0.005006, 'JSD_std': 0.00036}",0.056098,76.0,24.0,12.0,105.0,"{'value': 0.7395, 'status': 'VALID'}",6.0,3.0,6.0,9.0,1.618827,,63.0,9.0,,,,COMPILED_UNVERIFIED,4.0,12.0
03-micro-gradient-scaling,QAOA_10_MAXCUT,TKET,39.0,,,,,,,,0.285464,0.843662,0.11103,,,,,,,,,,9.403212,,,,,,,,9.691803,0.306641,48.0,,,"{'Hellinger_fidelity_std': 0.003969, 'TVD_std': 0.004544, 'JSD_std': 0.002805}",0.929207,163.0,25.0,84.0,87.0,"{'value': 0.6479, 'status': 'VALID'}",20.0,15.0,9.0,35.0,7.310432,,10.0,33.0,,,,COMPILED_UNVERIFIED,5.6,33.0
03-micro-gradient-scaling,QAOA_7_MAXCUT,TKET,27.0,,,,,,,,0.274541,0.854936,0.10477,,,,,,,,,,6.698845,,,,,,,,6.856427,0.308824,32.0,,,"{'Hellinger_fidelity_std': 0.003358, 'TVD_std': 0.004537, 'JSD_std': 0.002468}",0.734373,156.0,26.0,56.0,59.0,"{'value': 0.6172, 'status': 'VALID'}",14.0,10.0,9.0,24.0,5.467533,,10.0,22.0,,,,COMPILED_UNVERIFIED,5.6,37.0
03-micro-gradient-scaling,QAOA_10_MAXCUT,SABRE_O3,223.0,,,,,,,,0.222997,0.903018,0.068469,,,,,,,,,,9.167875,,,,,,,,9.582857,0.230743,64.0,,,"{'Hellinger_fidelity_std': 0.003133, 'TVD_std': 0.004073, 'JSD_std': 0.00216}",0.013528,90.0,27.0,64.0,287.0,"{'value': 0.7186, 'status': 'VALID'}",20.0,15.0,9.0,35.0,6.844769,,62.0,49.0,,,,COMPILED_UNVERIFIED,4.266667,28.0
03-micro-gradient-scaling,CrossEnt_4,PROMETHEUS,88.0,,,,,,,,0.055074,0.993943,0.004371,,,,,,,,,,3.963322,,,,,,,,3.982179,0.067,14.0,,,"{'Hellinger_fidelity_std': 0.000805, 'TVD_std': 0.004836, 'JSD_std': 0.000581}",2.14886,48.0,28.0,14.0,102.0,"{'value': 0, 'status': 'VALID'}",8.0,5.0,7.0,13.0,3.556393,,36.0,9.0,,,,COMPILED_UNVERIFIED,2.8,13.0
03-micro-gradient-scaling,GHZ_7,TKET,1.0,,,,,,,,0.25977,0.869592,0.068708,,,,,,,,,,1.388457,,,,,,,,1.974968,0.1294,6.0,0.8706,0.006579,"{'Hellinger_fidelity_std': 0.003349, 'TVD_std': 0.003318, 'JSD_std': 0.00186}",0.488508,30.0,29.0,6.0,7.0,"{'value': 0, 'status': 'VALID'}",1.0,6.0,8.0,7.0,1.105008,,1.0,0.0,,,,COMPILED_UNVERIFIED,1.0,6.0
03-micro-gradient-scaling,GHZ_9,TKET,1.0,,,,,,,,0.29804,0.830235,0.091042,,,,,,,,,,1.508128,,,,,,,,2.296489,0.1676,8.0,0.8324,0.007321,"{'Hellinger_fidelity_std': 0.003807, 'TVD_std': 0.003779, 'JSD_std': 0.002185}",0.505048,38.0,30.0,8.0,9.0,"{'value': 0, 'status': 'VALID'}",1.0,8.0,10.0,9.0,1.124692,,1.0,0.0,,,,COMPILED_UNVERIFIED,1.0,8.0
